S/NO,PHASE,NAME OF ANALYST,"DOCUMENT TYPE (book, Journal article, Report, Statutes, Newspaper)",TITTLE OF PUBLICATION,AUTHOR,APPLICABLE NOMENCLATURE(KEY NAME USED),YEAR OF PUBLICATION,CONTINENT OF STUDY,NATIONALITY/ORIGIN/EXTRACTION OF AUTHOR,SECTION OF THE ARTICLE ANALYSED,BRIEF DESCRIPTION OF THE ARTICLE,"DESCRIPTIVE TERMS/ADJECTIVES/ADJECTIVAL PHRASES (e.g. filthy, dirty, undesirable)",POSITIONALITY OF ARTICLE,USE OF STATISTICS,SOURCE OF STATISTICS,CITE 'UN-habitat 2003 STUDY ON SLUMS',"CATEGORISATION OF PUBLICATION( descriptive, diagnostic(identify problems), Prescriptive, theoretical)","Descriptive studies( nature of slums(conceptualization), health concerns, housing, water, sanitation, nutrition,land, approaches to slum Upgrading)","Diagnostic (strategies, policy gaps/challenges, tenure concerns, public health concerns, environmental concerns, marginalisation(inclusion, exclusion)]","Prescriptive[inclusivity/tackling marginalisation, slum upgrading/improvement, security improvement,","Theoretical( theories, liberal/neo-liberal theories, colonial/post colonial theories, political economy)",REFERENCE{MENDELEY},SOURCE/WEB LINK
143, II,KORIR BRIAN,Journal,Governing informality through representation: Examples from slum policies in Brazil and South Africa,Kovacic Z,Slums,2022,Africa,American,Abstract,"Building on the understanding that the representations that underpin slum policies play an important role in the management and reproduction of informality, the aim of this paper is to identify some of the representations used in the governance of slums through two case studies: the upgrading policies of Rio de Janeiro's favelas, Brazil, and the governing of Stellenbosch's informal settlements, South Africa. Slum policies are influenced by the use of technologies, defined in this paper both as accounting techniques that stabilise the representations of informality and as technological artefacts used as means of intervention. Results show that the representations of slums used in the policies analysed contribute to the reproduction of informality by (i) representing slums as places of uncertainty and uncontrollability, (ii) affirming the need of experts and technical knowledge to correct the material, legal and knowledge deficits through which slums are represented, and (iii) focusing on the individual and household level and disregarding the relational character of poverty. These representations are influenced by sociotechnical imaginaries of sustainable and smart cities, through which the social orders that produce informality and social exclusion remain unquestioned.","disorderly, disorganised, filthy,dirty,impoverished,marginalised, congested settlements,infrastructural scarcity",Negative,No,-,No,Descriptive,Conceptualization of slums,"planning, policy gaps",-,-,,http://dx.doi.org/10.1016/j.cities.2018.07.009
144, II,KORIR BRIAN,Journal,Informal settlement and urban development discourse in the Global South: Evidence from Ghana,"Anthony Nkurumah Agyabeng, Augustine Awuah Peprah, James Kwame Mensah",Informal settlements,2022,Africa,American,Chapter 1,"informal settlement dwellers are unduly affected by ill health, violence, and many other socio-economic challenges connected to the unhealthy and unsafe physical conditions in which they live.","violence, unhealthy,filthy, unsafe",Negative,Yes,"Sampling,interviewing",No,Diagnostic,"nutrition, conceptualization of slums","policy gaps, planning,public health",-,-,,Taylor & Francis Online
145, II,KORIR BRIAN,Journal,Slums and pandemics,"Luiz Brotherhood, Tiago Cavalcanti, Daniel Da Mata, Cezar Santos ",Informal settlements,2022,Africa,American,Abstract, There's no paper in the growing literature on the economics of epidemics has addressed the role of slums in shaping the economic and health dynamics of pandemics. ,"filthy, congested, informal, disorgainsed",Negative,Yes,"Sampling, interviewing",No,Diagnostic,"Conceptualization,marginalisation","planning, policy gaps",-,-,,Science Direct
146, II,KORIR BRIAN,Journal,"Water insecurity, housing tenure, and the role of informal water services in Nairobi's slum settlements","Joshi N,Gerlak AK,Hannah C,Lopus S,Krell N,Evans T",Slums,2023,Africa,American,Abstract,"Presently, about one billion people reside in slums around the world, creating an ongoing urbanization and development challenge. Slum settlements lack tenure security, posing an additional challenge for municipal and national governments in providing basic services. In particular, safe and affordable access to water for slum residents remains unmet, as slum settlements often lack municipal water supply coverage and rely on small-scale informal water services. We examined the dynamics between housing tenure status (tenancy vs ownership), water service types, and water insecurity among households in three slum settlements in Nairobi, Kenya. Using a cross-culturally validated 11-item Household Water Insecurity Experience (HWISE) scale, we identified a key link between housing tenure status and water insecurity, based on survey data from 556 households. We found that water insecurity in the study sites is a significant challenge because of the link between housing tenure and access to different water service types. As such, water insecurity scores among tenants were significantly higher than homeowners, and this association persists even after controlling for household characteristics. Furthermore, a higher percentage of homeowners had access to formal water services than tenants and accessing water from informal water providers was related to higher water insecurity. Our results highlight the need for development interventions in slums to consider housing tenure of residents when planning interventions to alleviate water insecurity. To meet the goal of â€˜equitable water for allâ€™ set by the United Nations Sustainable Development Goals (SDGs), governments must also take key steps to resolve housing tenure injustice and expand home ownership in slum settlements.","disorderly, disorganised, filthy,dirty,impoverished, insecure tenure, congested settlements,infrastructural scarcity",Negative,No,-,No,Descriptive,"Conceptualization of slums, marginalisation, sanitation, housing","planning, policy gaps, types of houses, land tenure","Slum upgrading,livelihood improvement",-,,http://dx.doi.org/10.1016/j.worlddev.2022.106165
147, II,KORIR BRIAN,Journal,Slum Intervention in Sub-Saharan Africa: A Case for New Tourist Approach,"Sanusi OL,Huxtable-Thomas L,Sanusi L",Slums,2023,Africa,American,Abstract,"This study queries the notion of slum as an anathema to the growth and prosperity of cities in sub-Saharan Africa. Slum tourism is discussed as an emerging intervention to address the challenge of slums in the global south. Using ethnographic account and personal reflection of 5 slum settlements and key institutions in Lusaka, a novel approach is proposed: Absolute Slum Tourism (AST) and Relative Slum Tourism (RST), to contribute to the discourse on slum interventions. The study shows that navigating informal settlements through RST approach could significantly influence urban rejuvenation, empower local narratives, giving voice to the marginalised in slum communities and promoting equity. The paper further proposes a new framework for the co-creation of slum interventions, introducing a shift in how informal urban space and residents are perceived.","disorderly, disorganised, filthy,dirty,impoverished,marginalised, congested settlements,infrastructural scarcity",Negative,No,-,No,Descriptive,Conceptualization of slums,"policy gaps, planning,public health","Slum upgrading,livelihood improvement",-,,http://dx.doi.org/10.46222/ajhtl.19770720.387
148, II,KORIR BRIAN,Journal,"A qualitative assessment of support mechanisms in informal settlements of Nairobi, Kenya","Amuyunzu-Nyamongo, Mary;Ezeh, Alex Chika",Other,2005,Africa,African,Abstract,"Urban poverty in sub-Saharan Africa is concentrated in slum settlements and shanty towns, leading to extreme deprivation and daily survival challenges. A study in Nairobi, Kenya, explores informal support mechanisms for coping with food scarcity, illness, and bereavement among the urban poor. Despite their poverty, community members offer assistance in times of serious crises. The research emphasizes the need for public safety nets accessible to the urban poor.","Poverty, extreme deprivation, informal settlements",Negative,Yes,UN,No,Descriptive,Health concerns ,,,,"Amuyunzu-Nyamongo, M., & Ezeh, A. C. (2005). A qualitative assessment of support mechanisms in informal settlements of Nairobi, Kenya. Journal of Poverty, 9(3). https://doi.org/10.1300/J134v09n03_05",10.1300/J134v09n03_0510.1300/J134v09n03_05
149, II,KORIR BRIAN,Journal,Measuring quality of life in informal settlements in South Africa,"Richards, Robin;O'Leary, Brian;Mutsonziwa, Kingstone",Other,2007,Africa,European,Introduction,"The text discusses the challenges faced by South African cities, which experience an influx of new residents searching for better opportunities. The housing shortage and lack of subsidies have led many to live in informal housing and shack settlements, which are expected to persist for the foreseeable future. The paper highlights the need for research to improve the quality of life in these areas, particularly for informal settlement residents in Buffalo City, Durban, and Alexandra, Johannesburg. It explores the factors crucial for enhancing residents' quality of life and identifies obstacles. The paper employs regression analysis to gain insights into the issues shaping quality of life and suggests research directions to enhance our understanding of the well-being of informal settlement residents.",Housing shortage,Negative,No,,No,Descriptive,Housing concerns,,,,"Richards, R., O’Leary, B., & Mutsonziwa, K. (2007). Measuring quality of life in informal settlements in South Africa. Social Indicators Research, 81(2). https://doi.org/10.1007/s11205-006-9014-1",10.1007/s11205-006-9014-110.1007/s11205-006-9014-110.1007/s11205-006-9014-1
150, II,KORIR BRIAN,Journal,Approaches for bridging the sanitation delivery gap in urban informal settlements in Namibia,"van der Merwe, Gert;Simha, Prithvi",Other,2023,Africa,European,Abstract,"This study focuses on the prevalence of shacks in urban informal settlements in Namibia, which are expected to become the most common form of housing in the country by 2025. These settlements often lack connections to municipal sewage systems due to various reasons, including issues related to land tenure and the official capacity to invest in infrastructure in unplanned areas. As a result, on-site decentralized sanitation is the norm for shack dwellings in Namibia, and any opposition to this system can lead to a lack of sanitation facilities and inadvertently promote open defecation. The study explores the challenges and opportunities in this gray area of urban informality, assessing the interactions between local communities, non-government organizations (specifically, the Clay House Project and Development Workshop Namibia), and an international development agency (GIZ) as they work together to implement bottom-up sanitation solutions for informal settlements in Namibia. The research involves a critical analysis of the different sanitation delivery models used by these organizations, considering their historical development, underlying philosophies, and technical solutions. It also investigates how products from various sanitation systems are managed and explores whether urine source separation could improve their overall management. The study provides valuable insights into addressing gaps in sanitation delivery in informal settlements, which are home to over a billion people worldwide.","Shack settlements, ",Negative,Yes,United Nations 2022 World Population Prospects 2022,No,Diagnostic,,Identification of Gaps in sanitary delivery,,,"van der Merwe, G., & Simha, P. (2023). Approaches for bridging the sanitation delivery gap in urban informal settlements in Namibia. City and Environment Interactions, 20. https://doi.org/10.1016/j.cacint.2023.100120",10.1016/j.cacint.2023.10012010.1016/j.cacint.2023.100120
151, II,KORIR BRIAN,Book,Atlas of Informal Settlements ,"Kim Dovey, Matthijs van Oostrum, Tanzil Shafique, Ishita Chatterjee, Elek Pafka",Informal settlements,2023,Africa,European,Abstract,"case study uses maps and aerial photographs to examine the key stages of development, while accompanying texts outline the impact of environmental, social, economic and political factors – ultimately revealing the hidden rules and logics embodied in informal settlements worldwide. As the focus of sustainable urban development shifts towards the upgrade of slums through community collaboration, it has become vital to understand how such places develop.","Insightful, Homogenous, vital",Negative,Yes,UN-Habitat ,Yes,Descriptive,Challenges of mapping informal settlements,,,,"ATLAS OF INFORMALITY | Atlas of Informality. (n.d.). Retrieved 25 October 2023, from https://www.atlasofinformality.com/",https://www.atlasofinformality.com/
152, II,KORIR BRIAN,Journal,Informal Settlement and urban development discourse in Global South: Evidence from Ghana,Antony Nkrumah Agyabeng,Informal settlements,2022,Africa,African,Abstract,this settlements have severe implications for the environment. These settlements need to upgrade to ensure settlers enjoy decent infrastructural facilities.,"Pollution, growing, recognized",Negative,Yes,UN-Habitat 2015,Yes,Descriptive,Atlas of informality and the growth of the informal sector,Challenges ,,,"(PDF) Informal settlement and urban development discourse in the Global South: Evidence from Ghana. (n.d.). Retrieved 25 October 2023, from ",https://www.researchgate.net/publication/363553671_Informal_settlement_and_urban_development_discourse_in_the_Global_South_Evidence_from_Ghana
153, II,KORIR BRIAN,Journal,"Water and sanitation in Dhaka Slums: access, quality and informality in service provision","Sabrina Sharmin Haque, Monica Yanez-Pagans, Yurani Arias-Granada and George Joseph",Slums,2019,Africa,Asian,Abstract,"slums have poorly developed water and sanitation systems and access services through informal channels. This cross-sectional study examines the quality of and access to water and sanitation services in government-defined slums across Dhaka, Bangladesh. Access is generally high but is subject to quality issues related to safety, reliability and liability.","poor, insecure, unreliable, and unliable",Negative,Yes,Census of slums and Floating Population 2014,No,Diagnostic,,challenges of water in slums in Dhaka,,,"Water and sanitation in Dhaka slums: Access, quality, and informality in service provision: Water International: Vol 45, No 7-8. (n.d.). Retrieved 25 October 2023, from ",https://www.tandfonline.com/doi/full/10.1080/02508060.2020.1786878
154, II,KORIR BRIAN,Journal,From Squatter Settlement to Suburb: The Transformation of Bathore Albania,Dorina Pojani,Squatter Settlements,2013,Europe,European,Abstract,"squatters built houses that were permanent, structures of good quality and equip the area with infrastructure.","poor, illegal, low infrastructure",Negative,Yes,Housing Census,No,Descriptive,Trasformation of squatter settlments to a suburb,,,,"Pojani, D. (2013). From Squatter Settlement to Suburb: The Transformation of Bathore, Albania. Housing Studies, 28. ",https://doi.org/10.1080/02673037.2013.760031
155, II,KORIR BRIAN,Journal,Informal settlements in the context of COVID-19: Pandemic restrictions and the building of community resilience,"Chun Wang, Haoyi Xu and Aiping Lin",Informal settlements,2022,Africa,Asian,Abstract,slums are prominent under the background of rapid or excessive urbanisation in developing countries. Represent a high intensity and low-quality urban landscape.,"direct disasters, diversity, low mobility, resilient",Negative,Yes,2020 Chinese census,No,Prescriptive,,,Building  community resilience in informal settlements during the COVID-19 pandemic.,,"Wang, C., Xu, H., & Lin, A. (2022). Informal settlements in the context of COVID-19: Pandemic restrictions and the building of community resilience. Indoor and Built Environment, 1420326X2210978. ",https://doi.org/10.1177/1420326X221097821
156, II,KORIR BRIAN,Journal,Segregation within segregation: informal settlements beyond socially homogenous areas.,"Camila Carvallo, Vinicius M Netto",Informal settlements,2023,Africa,South American,Abstract,"segregated, socially homogenous places of poverty. Lack of material and cultural resources.","Inequality patterns, overlooked, segregated",Negative,Yes,UN-habitat 2020,Yes,Descriptive,Informal settlements,,,,"Carvalho, C., & Netto, V. M. (2023). Segregation within segregation: Informal settlements beyond socially homogenous areas. Cities, 134, 104152. ",https://doi.org/10.1016/j.cities.2022.104152
157, II,KORIR BRIAN,Journal,"Survey based socio-economic data from slums in Bangalore, India","Debraj Roy, Bhrath Palavalli, N Menon",Slums,2018,Asia,Asian,Abstract,"lack of adequate living space, insecure tenure and public services.","adequate, insecure, risk",Negative,Yes,UN-habitat 2011,Yes,Descriptive,socio-economic life in slums,,,,"(PDF) Survey-based socio-economic data from slums in Bangalore, India. (n.d.). Retrieved 25 October 2023, from ",https://www.researchgate.net/publication/322350457_Survey-based_socio-economic_data_from_slums_in_Bangalore_India
158, II,KORIR BRIAN,Journal,A comparative study of living conditions in slums of three metro cities in India,"Sugata Bag, Suman Seth, Anish Gupta",Slums,2016,Asia,Asian,Abstract,increasing number of urban poor who dwell in slums and continue to struggle for better living conditions,"Poor, Average households, congested ",Negative,No,-,No,Descriptive,Evolution of slums ,,,,"Sustainability | Free Full-Text | Slums Evolution and Sustainable Urban Growth: A Comparative Study of Makoko and Badia-East Areas in Lagos City. (n.d.). Retrieved 25 October 2023, from ",https://www.mdpi.com/2071-1050/15/19/14353
159, II,KORIR BRIAN,Journal,Understanding resilience in slums using an agent based model,"D Roy, M Lees",Slums,2020,Asia,Asian,Abstract,"assessing the resilience of slums as they differ from one slum to another, while many slums are vulnerable to forced evictions, temporary jobs and constant migration, few slums can recover from external shock and stress.","Vulnerable, large, temporary structures",Negative,No,-,No,Theoretical,,,,"social, economic and environmental model for slums","Roy, D., & Lees, M. (2020). Understanding resilience in slums using an agent-based model. Computers, Environment and Urban Systems, 80, 101458. ",https://doi.org/10.1016/j.compenvurbsys.2019.101458
160, II,KORIR BRIAN,Journal,The emergence of slums: A contemporary view of simulation models,"Debraj Roy, Michael Lees",Slums,2014,Asia,Asian,Abstract,"informality is a paradigm of city making and economic growth in Africa, Asia and Latin America. This paper discusses the role of computer simulation models to understand the emergence and growth of slums in developing countries. We have identified the key factors influencing the growth of slums and formulated a standardized set of criteria for evaluating slum models. ","Single housing, dynamic",Positive,No,-,No,Theoretical,,,,Environmental modelling software,"Roy, D., Lees, M. H., Palavalli, B., Pfeffer, K., & Sloot, M. A. P. (2014). The emergence of slums: A contemporary view on simulation models. Environmental Modelling & Software, 59, 76–90. ",https://doi.org/10.1016/j.envsoft.2014.05.004
161, II,KORIR BRIAN,Journal,Life in a Slum: understanding living conditions in Nairobi's slums across time and space.,Julia Bird,Slums,2017,Africa,African,Abstract,"poor infrastructure, low socio-economy. Improvements in building quality and service provision are advancing","diverse, improving, segregated",Negative,Yes,"Kenya National Bereau of Statistics, 2009",No,Descriptive,Housng and living consdtions in Nairobi slums,,,,"Bird, J., Montebruno, P., & Regan, T. (2017). Life in a slum: Understanding living conditions in Nairobi’s slums across time and space. Oxford Review of Economic Policy, 33(3), 496–520. ",https://www.jstor.org/stable/26363262
162, II,KORIR BRIAN,Book,The struggle to Life in South Africa's Slums,Claire Laurier Decoteau,Slums,2013,Africa,American,Abstract,"Health inequality, chronic unemployment and poverty.","inequality, poor",Negative,Yes,"South African Census Bureau,2011",No,Descriptive,Housng and living condition of slums in South africa,,,,"Decoteau, C. L. (2013). ONE. The Struggle for Life in South Africa’s Slums. In ONE. The Struggle for Life in South Africa’s Slums (pp. 24–77). University of Chicago Press. ",https://doi.org/10.7208/9780226064628-005
163, II,KORIR BRIAN,Journal,Slums Evolution and sustainable Urban Growth: A comparative study of Makoko and Bandia East Areas in Lagos City,Katabarwa Murenzi Gilbert and Yishao Shi,Slums,2023,Africa,African,Abstract,"slums cause adverse effects on human life and the environment. Increase in air and water pollution These settlements primarily accommodate lower-income individuals who do not have access to necessary facilities and fundamental infrastructure elaborates on the distinctive features of slum settlements, including their location in unauthorized areas with uncertain land status, inadequacy of housing structures, high population density, placement in unhealthy environments, and vulnerability to disasters. These slums serve as minimal living spaces for marginalized communities grappling with inadequate living conditions and limited resources","Inaddequate, inequality, unhealthy, vulnerable",Negative,Yes,UN-habitat,Yes,Descriptive,Housing and sanitation,,,,"Sustainability | Free Full-Text | Slums Evolution and Sustainable Urban Growth: A Comparative Study of Makoko and Badia-East Areas in Lagos City. (n.d.). Retrieved 25 October 2023, from ",https://www.mdpi.com/2071-1050/15/19/14353
164, II,KORIR BRIAN,Journal,The Role of Infrastructure in Improving Human settlements,"Priti Parikh, Himanshu Parikh, Allan McRobie",Slums,2013,Africa,Asian,Abstract,"Hard to reach, slum communities and low income communities","opportunity, innovative, low income",Negative,Yes,"World Health Organization, UNICEF, 2004",Yes,Descriptive,Infrastructure,,,,"Parikh, H., Parikh, P., & Mcrobie, F. (2013). The role of infrastructure in improving human settlements. Proceedings of the ICE - Urban Design and Planning, 166, 101–118. ",https://doi.org/10.1680/udap.10.00038
165, II,KORIR BRIAN,Journal,"Challenges of slum dwellers in Ghana: The case study of Ayigya, Kumasi.","D. Dinye, E Acheampong",Slums,2013,Africa,African,Abstract,"poor conditions affect its dwellers negatively, poor housing, sanitation and hygienic conditions","poor, insecure, unhygienic",Negative,Yes,"Qustionnares, interviews, United Nations Commision on Human Settlement, 2003",No,Diagnostic,,Challenges of slums dwellers in Ghana,,,"Dinye, R., & Acheampong, E. (2013). Challenges of slum dwellers in Ghana: The case study of Ayigya, Kumasi. EuropeanScientific Journal. https://www.semanticscholar.org/paper/Challenges-of-slum-dwellers-in-Ghana:-the-case-of-Dinye-Acheampong/acaf6d881af2194f866d006da0567916cd038dfa",https://www.semanticscholar.org/paper/Challenges-of-slum-dwellers-in-Ghana:-the-case-of-Dinye-Acheampong/acaf6d881af2194f866d006da0567916cd038dfa
166, II,KORIR BRIAN,Journal,Improving the health and lives of people living in slums.,Shaaban A Sheuya,Slums,2022,Africa,African,Abstract,"Urban poverty, ill health, and living in slums are intrinsically interwoven. Poverty is multidimensional and there is no agreement on a universal definition. UN-HABITAT has introduced an operational definition of slums that is restricted to legal aspects and excludes the more difficult social dimensions. Participatory slum upgrading is not sufficient condition to reduce poverty and improve the lives of slum dwellers","poverty, unhealthy, exclusion, insufficient services",Negative,Yes,"UN-habitat, WHO",Yes,Prescriptive,,,Improving the health and lives of people living in slums,,"Sheuya, S. A. (2008). Improving the health and lives of people living in slums. Annals of the New York Academy of Sciences, 1136, 298–306. ",https://doi.org/10.1196/annals.1425.003
167, II,KORIR BRIAN,Book,Evolution of Slum Redevelopment Policy,"D Andavarapu, D Edelman",Slums,2013,Africa,South American,Abstract,"Slums are an integral part of the urban landscape, as they have 
historically been the only affordable housing solution available 
to the urban poor. Over the years the understanding of slums has 
evolved from considering them a nuisance to today’s general 
consensus that slums are unique eco systems, which have 
changed over the years to adapt to the needs of their residents. 
Slum redevelopment policies have also evolved with this 
changing understanding, and in this paper, the authors identify 
four phases of slum redevelopment policy","affordable, evolving, unique, nuisance",Negative,Yes,"UN-habitat, World Bank",Yes,Descriptive,Evolution of slums ,,,,"Andavarapu, D., & Edelman, D. J. (2013). Evolution of Slum Redevelopment Policy. Current Urban Studies, 01(04), 185–192. ",https://doi.org/10.4236/cus.2013.14021
168, II,KORIR BRIAN,Book,Slum upgrading and participation: Lessons from Latin America,"I Imparato, J Ruster",Slums,2003,South America,American,Abstract,"Challenges to provide safe, sanitary, affordable housing and basic infrastructure","Affordable, insecure, unhealthy",Negative,Yes,"World Bank, Swiss Agency for Development and Cooperation",No,Prescriptive,,,Slum upgrading and interventions,,"Slum Upgrading and Participation: Lessons from Latin America. (n.d.). Retrieved 25 October 2023, from ",https://openknowledge.worldbank.org/handle/10986/15133
169, II,KORIR BRIAN,Journal,"Family Structure and Child Educational Attainment in the Slums of Nairobi, Kenya","Abuya, Benta A.; Mutisya, Maurice; Onsomu, Elijah O",Slums,2019,Africa,African,Abstract,"Few children live with the two biological parents, more single parent households","Weak families, high literacy",Negative,Yes,African Population and Health Research Center,No,Descriptive,Child education in slums,,,,"Family Structure and Child Educational Attainment in the Slums of Nairobi, Kenya—Benta A. Abuya, Maurice Mutisya, Elijah O. Onsomu, Moses Ngware, Moses Oketch, 2019. (n.d.). Retrieved 25 October 2023, from ",https://journals.sagepub.com/doi/full/10.1177/2158244019855849
170, II,KORIR BRIAN,Journal,Understanding Electricity Nightmare and Health Implications among Slum Dwellers in Ghana,"Nkrumah Agyabeng, Anthony; Ahwireng, Patience Obeng; Bawole, Justice Nyigmah; Mickson, Michael Kwame",Slums,2022,Africa,African,Abstract,"The findings revealed that slums faced various forms of challenges that are attributable to lack of government support, stringent procedures and financial hardship, among others. The study also found that a lack of health education in the slums has resulted in health problems, such as skin diseases, stomach aches, cholera, typhoid and childbirth complications.","Unhealthy, poor, inequality",Negative,Yes,"Sampling, interviewing",No,Diagnostic,,Health implication in slums,,,"Nkrumah Agyabeng, A., Ahwireng, P. O., Bawole, J. N., Mickson, M. K., & Ahenkan, A. (2022). Understanding Electricity Nightmare and Health Implications among Slum Dwellers in Ghana. Health Education, 122(5), 493–505. https://doi.org/10.1108/HE-06-2021-0089",https://eric.ed.gov/?q=descriptor%3a%22Slums%22&id=EJ1342366
171, II,KORIR BRIAN,Journal,"Rural-Urban Drift: Labour Migration, Health-Seeking Behaviour Disparity in the Urban Slum of Madina, Ghana","Afeadie, Ransford Kwaku",Slums,2021,Africa,African,Abstract,"Rural-urban migration, disparities and urban dynamics","disparities, dynamic, unhealthy, ",Negative,Yes,"Sampling, Questionnare",No,Diagnostic,,"Health, labour and migration trends in slums",,,"Afeadie, R. K. (2021). Rural-Urban Drift: Labour Migration, Health-Seeking Behaviour Disparity in the Urban Slum of Madina, Ghana. Health Education",https://eric.ed.gov/?q=descriptor%3a%22Slums%22&pg=2&id=EJ1297055
172, II,KORIR BRIAN,Journal,"Formalizing the informal: Understanding the position of informal settlements and slums in sustainable urbanization policies and strategies in Bandung, Indonesia","Jones, Paul",Informal settlements,2017,Asia,Asian,Abstract," A major challenge for sustainable urbanization policies and strategies is how to address the complexity of urbanization, growth of informal settlements and slums in developing countries this dwellers suffer greater levels of spatial, economic and social exclusion. this paper examines the range of challenges associated with the growth of informal settlements and slums, seeking to understand how they are positioned via upgrading policies","Complex, exclusion, ever-growing",Negative,Yes,UN-habitat 2015,Yes,Diagnostic,,Nature and position of slums in sustainable urbanization,,,"Jones, P. (2017). Formalizing the informal: Understanding the position of informal settlements and slums in sustainable urbanization policies and strategies in Bandung, Indonesia. Sustainability (Switzerland)",https://doi.org/10.3390/su9081436
173, II,KORIR BRIAN,Journal,"Water, Sanitation, and Hygiene Challenges in Informal Settlements in Kampala, Uganda: A Qualitative Study","Dickson-Gomez, Julia;Nyabigambo, Agnes;Rudd, Abigail;Ssentongo, Julius;Kiconco, Arthur;Mayega, Roy William",Informal settlements,2023,Africa,African,Abstract,"The repercussions of chronic diarrhea extend beyond mortality, placing children at risk of mineral deficiencies, malnutrition, and stunted growth despite numerous infrastructural improvements, such as the introduction of latrines, toilets, water taps, wells, and garbage collection and drainage systems, the Water, Sanitation, and Hygiene system and its components were severely hindered. This was largely due to point-of-use fees for water access and toilet usage","Unhealthy, unhygienic, poor, inadequate",Negative,Yes,"World Health Organisation, Interviews",Yes,Descriptive,Water and sanitation in slums,,,,"Dickson-Gomez, J., Nyabigambo, A., Rudd, A., Ssentongo, J., Kiconco, A., & Mayega, R. W. (2023). Water, Sanitation, and Hygiene Challenges in Informal Settlements in Kampala, Uganda: A Qualitative Study. International Journal of Environmental Research and Public Health",https://doi.org/10.3390/ijerph20126181
174, II,KORIR BRIAN,Journal,Latin American Squatter Settlements: A Problem and a Solution,"Mangin, William",Squatter Settlements,1967,South America,American,Introduction,"This article presents an initial survey of Latin American squatter settlements, challenging prevailing views held by various groups. It's noteworthy that different local names exist for squatter communities across regions, and while they often house low-income families, they are distinct from traditional inner-city slums. This paper aims to counter the prevailing mythology about squatter settlements common in literature, reports, and media in Latin America.","low income, diverse, poor",Negative,Yes,"Survey, sampling",No,Descriptive,Nature of slums,,,,"Mangin, W. (1967). Latin American Squatter Settlements: A Problem and a Solution. Latin American Research Review, 2(3). ",https://doi.org/10.1017/s002387910001534x
175, II,KORIR BRIAN,Journal,Informal settlement fires in South Africa: Fire Engineering Overview and full-scale tests on 'shacks',"R.Walls, G.Olivier, R Eksteen",Informal settlements,2017,Africa,African,Abstract,"unplanned settlements, lacking infrastructure, typically experiencing significant social problems","scarcity, problematic",Negative,Yes,"South African Census Bureau,2011",No,Descriptive,,,,,,Taylor & Francis Online
176, II,KORIR BRIAN,Book,Shadow Cities; A billion squatters,Robert Neuwirth,Squatter Settlements,2005,Africa,American,Introduction,"Squatter communities are generally tolerated at best and exist under constant threat of demolition and forced removal.  the most active builders are squatters, creating complex local economies with high rises, shopping strips, banks, and self-government. As they invent new social structures, Neuwirth argues, squatters are at the forefront of the worldwide movement to develop new visions of what constitutes property and community.","Threats, crime, forced evictions, ",Negative,Yes,UN-habitat (2003),Yes,Descriptive,Slums in the urban world,,,,"Neuwirth, R. (2004). Shadow Cities: A Billion Squatters, a New Urban World (1st edition). Routledge.",www.amazon.com
177, II,KORIR BRIAN,Journal,Health needs assessment of the residents of the informal settlements in South eastern Iran,"Naeimeh Poortaheri, Khalil Alimohammadzadeh, Seyed Mojtaba Hosseini,Ali Maher and Mohammadkarim Bahadori.",Informal settlements,2021,Asia,Asian,Chapter 1,"Social problems in society, residents do not have access to basic services, including health services. Informal settlements are considered as one of the social problems in societies. As the residents do not have adequate access to basic services, including health services, their health is at risk. This study was conducted to evaluate the access to health services and determine the health needs of informal settlements in Bam city","Risk, inadequacy, clustered",Negative,Yes,"World bank, Ministry of Health and Medical Education",Yes,Descriptive,Health concerns,,,,"Poortaheri, N., Alimohammadzadeh, K., Hosseini, M., Maher, A., & Bahadori, M. (2021). Health needs assessment of the residents of the informal settlements in South-Eastern Iran: A case study of Bam city. Journal of Education and Health Promotion, 10, 2021. ",https://doi.org/10.4103/jehp.jehp_1448_20
178, II,KORIR BRIAN,Journal,"Spatial segregation, inequality and opportunity bias in slums of Bengaluru. ","Roy D, Lees Michael Harold, Pfeffer K.",Slums,2018,Asia,Asian,Abstract,high level of poverty and rather insufficient access to resources. Slums are diverse and complex systems that cannot be addressed through one size fits.,"Inequality, disparity, poverty",Negative,Yes,"National Sample Survey, 2014",No,Diagnostic,,"challenges of slums, eg inequality and segregation",,,"Roy, D., Lees, M. H., Pfeffer, K., & Sloot, P. M. A. (2018). Spatial segregation, inequality, and opportunity bias in the slums of Bengaluru. Cities, 74, 269–276",. https://doi.org/10.1016/j.cities.2017.12.014
179, II,KORIR BRIAN,Journal,Informal Law in Informal Settlements,"Jane Mathews Glenn, Veronique Belanger",Informal settlements,2003,Africa,African,Abstract,"as the law could intervene that informal settlements be regularized, programmes cover issues on public law regularization","Poor, inappropriate, low-cost, informal set ups",Negative,No,-,No,Descriptive,nature of legal fraweworks regarding slums,,,,"Matthews Glenn, J., & Bélanger, V. (2003). Informal Law in Informal Settlements. In J. Holder & C. Harrison (Eds.), Law and Geography (p. 0). Oxford University Press. ",https://doi.org/10.1093/acprof:oso/9780199260744.003.0014
