S/NO,PHASE,NAME OF ANALYST,"DOCUMENT TYPE (book, Journal article, Report, Statutes, Newspaper)",TITTLE OF PUBLICATION,AUTHOR,APPLICABLE NOMENCLATURE(KEY NAME USED),YEAR OF PUBLICATION,NATIONALITY/ORIGIN/EXTRACTION OF AUTHOR,CONTINENT OF STUDY,SECTION OF THE ARTICLE ANALYSED,BRIEF DESCRIPTION OF THE ARTICLE,"DESCRIPTIVE TERMS/ADJECTIVES/ADJECTIVAL PHRASES (e.g. filthy, dirty, undesirable)",POSITIONALITY OF ARTICLE,USE OF STATISTICS,SOURCE OF STATISTICS,CITE 'UN-habitat 2003 STUDY ON SLUMS',"CATEGORISATION OF PUBLICATION( descriptive, diagnostic(identify problems), Prescriptive, theoretical)","Descriptive studies( nature of slums(conceptualization), health concerns, housing, water, sanitation, nutrition,land, approaches to slum Upgrading)","Diagnostic (strategies, policy gaps/challenges, tenure concerns, public health concerns, environmental concerns, marginalisation(inclusion, exclusion)]","Prescriptive[inclusivity/tackling marginalisation, slum upgrading/improvement, security improvement,","Theoretical( theories, liberal/neo-liberal theories, colonial/post colonial theories, political economy)",REFERENCE{MENDELEY},SOURCE/WEB LINK
988,III,CLINTON PATROBA,Report,"A New Hypothesis on Informal Land Supply, Livelihood, and Urban Form in Sub-Saharan African Cities","Mottelson, Johan",Informal Settlements,2020,European,European,Abstract,"The study focuses on informal urban land use in four major East African cities, examining urban form and household conditions in a case study area in each city. Findings indicate that cities with limited informal urban land use have more compact urban form, higher levels of tenants and overcrowding, and lower access to water and sanitation. The study argues that government repression of informal development increases competition in the informal land market, raising accommodation costs and compromising livelihoods. It recommends accepting some forms of informal development, simplifying urban development processes, and utilizing technological innovation for better outcomes in East Africaa.","·  Informal urban land use, Poor Household conditions, limited informal urban land use, compact urban form, overcrowding, lower access to water and sanitation, government repression, informal development, informal land market, technological innovation, East Africa",Negative,Yes,,No,Diagnostic,,Urban forms,,,"Mottelson, J. (2020). A New Hypothesis on Informal Land Supply, Livelihood, and Urban Form in Sub-Saharan African Cities. Multidisciplinary Digital Publishing Institute. https://doi.org/10.3390/land9110435",https://doi.org/10.3390/land9110435
989,III,CLINTON PATROBA,Journal,Evaluation of the Land Consolidation Process in the Informal Settlement Area of the Kurau River Bank Cluster 1 Village Kurau Based on Community Perceptions,"Yurmansah, Yurmansah",Informal Settlements,2016,Asian,Asian,Abstract,"The study evaluates the land consolidation process in the River Plate Kurau Cluster 1 Kurau slum village, focusing on a land readjustment agreement. The analysis indicates the successful implementation of land readjustment, supported by factors like community desire to stay, land ownership status, and strong support from local governments. The success is reflected in equity, effectiveness, responsiveness, and efficiency. However, challenges arise due to inequities in lot distribution after land readjustment, leading to public rejection of the results. Issues such as inefficient and unfair size distribution and financing schemes contribute to hindrances in the implementation process","Successful, equitable, effective, responsive, efficient; challenges: inequitable, inefficient, unfair.",Negative,Yes,,No,Diagnostic,Land tenure,,,,"Yurmansah, Y., & Mussadun, M. (2016). Evaluasi Proses Konsolidasi Tanah Kawasan Permukiman Kumuh Bantaran Sungai Kurau Klaster 1 Desa Kurau Berdasarkan Persepsi Masyarakat. https://ejournal.undip.ac.id/index.php/pwk/article/view/11460",https://ejournal.undip.ac.id/index.php/pwk/article/view/11460
990,III,CLINTON PATROBA,Book,Choices and decisions: Locating the poor in urban land markets,"Wanjiku Kihato, C",Slums,2013,African,African,Abstract,"·       Cities worldwide face a future of 'megaslums' due to factors like global capital, state failure, and structural adjustment programs. The growth of poverty, driven by economic processes, leads to increasing inequality and poverty globally.","State failure, inequality",Negative,Yes,,No,Diagnostic,Nature of slums,,,,"Wanjiku Kihato, C., & Napier, M. (2013). Choices and decisions: Locating the poor in urban land markets. African Minds. http://hdl.handle.net/10204/7047",http://hdl.handle.net/10204/7047
991,III,CLINTON PATROBA,Journal,"Psychosocial support during the COVID-19 pandemic in informal settlements: A Case of Childcare Providers in Nairobi, Kenya","Chumo, Ivy",Informal Settlements,2023,African,African,Abstract,"·       The COVID-19 pandemic has disproportionately impacted vulnerable populations in informal settlements. The study in Nairobi, Kenya, explores the psychosocial experiences of childcare providers, emphasizing the need for strong community support and preparedness plans during outbreaks.","·Vulnerable, strong, prepared.",Negative,Yes,,No,Diagnostic,Health concerns,,,,"Chumo, I., Mberu, B., Gitau, H., Nandongwa, I., Dibaba, Y., & Kabaria, C. (2023). Psychosocial support during the COVID-19 pandemic in informal settlements: A Case of Childcare Providers in Nairobi, Kenya. https://doi.org/10.1016/j.ssmmh.2023.100240",https://doi.org/10.1016/j.ssmmh.2023.100240
992,III,CLINTON PATROBA,Journal,Experience of neighbourhood violence and mental distress in Brazilian favelas: a cross-sectional household survey,"Cruz, Marcelo Santos",Slums,2021,South American,South American,Abstract,"·       Living in informal settlements with extensive violence affects mental health. The study in favelas in Brazil reveals that personal experiences and fears of neighborhood violence predict higher mental distress and poorer quality of life, independent of sociodemographic factors.","· Violent, higher, poorer.",Negative,Yes,,No,Diagnostic,Nature of slums,,,,"Cruz, M. S., Silva, E. S., Jakaite, Z., Krenzinger, M., Valiati, L., Gonçalves, D., Ribeiro, E., Heritage, P., & Priebe, S. (2021). Experience of neighbourhood violence and mental distress in Brazilian favelas: a cross-sectional household survey. https://doi.org/10.1016/j.lana.2021.100067",https://doi.org/10.1016/j.lana.2021.100067
993,III,CLINTON PATROBA,Report,Sessional Paper No. 02 of 2016 on National Slum Upgrading and Prevention Policy,,Slums,2016,African,African,Abstract,"The development of slums in Kenya's urban areas is associated with skewed political and economic growth, resulting in uncoordinated urban planning. Despite these cities being perceived as centers of good living, the rapid population growth of approximately 6-7% per annum, coupled with limited resources, unemployment, and high poverty levels, has led to the proliferation of slums and informal settlements. The government's challenges in providing decent shelter and infrastructure are exacerbated by the absence of social housing, leaving the low-income population dependent on the open market for housing. The private sector's delivery model primarily favors high and upper-middle-income households, neglecting the needs of low-income groups, who often end up in slums and informal settlements.","skewed, uncoordinated, limited, high, dependent, private, neglecting, low income",Negative,Yes,,No,Diagnostic,,Challenges in infrastructure provision,,,"Sessional Paper No. 02 of 2016 on National Slum Upgrading and Prevention Policy. (2016). Ministry of Land, Housing and Urban Development. http://repository.kippra.or.ke/handle/123456789/588",http://repository.kippra.or.ke/handle/123456789/588
994,III,CLINTON PATROBA,Report,Title 1 progress : quarterly report on slum clearance projects under Title 1 of the Housing Act of 1949 as ammended /,"Clearance., New York (N.Y.). Committee on Slum",Slums,1959,North American,North American,Abstract,"The paper investigates the local economic effects of a post-World War II slum clearance and urban redevelopment program in the United States, specifically focusing on Title I of the Housing Act of 1949. This program aimed to revitalize central cities by providing federal subsidies for locally planned redevelopment projects. The paper notes that the controversial program, which lasted until 1974, involved substantial federal support for over 2,100 distinct urban renewal projects, totaling approximately $53 billion (in 2009 dollars). Despite the program ending nearly 40 years ago, the paper argues that the economic challenges, policy tools, and conflicts over its implementation remain relevant to urban policymakers globally. The use of eminent domain and subsidies for private redevelopment is still a contentious issue, exemplified by public reactions to the U.S. Supreme Court's 2005 decision in Kelo v. City of New London. The paper suggests that the issues addressed in the U.S. urban renewal program are not unique to American cities and are relevant to policymakers worldwide who grapple with managing urban growth and modernization while considering property rights, historic preservation, and housing for the poor.",,Negative,Yes,,No,Diagnostic,,Investigate effects of slum clearance,,,"Clearance., N. Y. (N. Y. ). C. on S., & Moses, R. (1959). Title 1 progress?: quarterly report on slum clearance projects under Title 1 of the Housing Act of 1949 as ammended /. [New York?: Committee on Slum Clearance. http://hdl.handle.net/2027/nnc1.ar72642815",http://hdl.handle.net/2027/nnc1.ar72642815
995,III,CLINTON PATROBA,Journal,"Urban Slum Settlement Arrangement on Customary Land: A Case Study in Payakumbuh City, West Sumatra.","Noegroho, Noegi",Slums,2011,Asian,Asian,Abstract,"Slum areas are prevalent in many Indonesian cities, despite government programs aimed at alleviating their existence. Payakumbuh, located in West Sumatra, serves as an example of slum areas where land is predominantly owned by local traditional individuals known as 'ulayat land' owners. These areas witness the construction of numerous impoverished houses on rented ulayat land. The article provides an overview of the challenges in the slum arrangement in Payakumbuh, particularly focusing on difficulties arising from the land's adat ownership status. Additionally, the article presents conceptual approaches to address these problems",Impoverished houses,Negative,Yes,,No,Diagnostic,,,,,"Noegroho, N. (2011). Penataan Hunian Kumuh Perkotaan di Atas Tanah Ulayat: Studi Kasus pada Kota Payakumbuh, Sumatera Barat. https://journal.binus.ac.id/index.php/comtech/article/view/2811",https://journal.binus.ac.id/index.php/comtech/article/view/2811
996,III,CLINTON PATROBA,Report,Title I progress: quarterly report on slum clearance projects under Title I of the Housing Act of 1949 as amended /,,Slums,1960,North American,North American,Abstract,"The paper investigates the local economic effects of a post-World War II slum clearance and urban redevelopment program in the United States, specifically focusing on Title I of the Housing Act of 1949. This program aimed to revitalize central cities by providing federal subsidies for locally planned redevelopment projects. The paper notes that the controversial program, which lasted until 1974, involved substantial federal support for over 2,100 distinct urban renewal projects, totaling approximately $53 billion (in 2009 dollars). Despite the program ending nearly 40 years ago, the paper argues that the economic challenges, policy tools, and conflicts over its implementation remain relevant to urban policymakers globally. The use of eminent domain and subsidies for private redevelopment is still a contentious issue, exemplified by public reactions to the U.S. Supreme Court's 2005 decision in Kelo v. City of New London. The paper suggests that the issues addressed in the U.S. urban renewal program are not unique to American cities and are relevant to policymakers worldwide who grapple with managing urban growth and modernization while considering property rights, historic preservation, and housing for the poor.",Access,Negative,Yes,,No,Diagnostic,Nature of slums,,,,Title I progress: quarterly report on slum clearance projects under Title I of the Housing Act of 1949 as amended /. (1960). New York?: Committee on Slum Clearance of the City of New York. http://hdl.handle.net/2027/nnc1.ar72642483,http://hdl.handle.net/2027/nnc1.ar72642483
997,III,CLINTON PATROBA,Journal,A community engagement approach for an integrated early childhood development intervention: a case study of an urban informal settlement with Kenyans and embedded refugees,"Kabue, Margaret",Informal Settlements,2022,African,African,Abstract,"·       This paper emphasizes the significance of community engagement in the design and implementation of community-based early childhood development (ECD) programs. The insights are derived from a case study in Nairobi, Kenya, focusing on an urban informal settlement with embedded refugees. The community engagement process involved stakeholder meetings, transect walks, and debrief meetings, providing valuable lessons for implementing such interventions.",Urban Informal settlement,Negative,Yes,,No,Diagnostic,Education in slums,,,,"Kabue, M., Abubakar, A., Ssewanyana, D., Angwenyi, V., Marangu, J., Njoroge, E., Ombech, E., Mokaya, M. M., Obulemire, E. K., Mugo, C., Malti, T., Moran, G., Martin, M.-C., Proulx, K., Marfo, K., Zhang, L., & Lye, S. (2022). A community engagement approach for an integrated early childhood development intervention: a case study of an urban informal settlement with Kenyans and embedded refugees. https://doi.org/10.1186/s12889-022-13185-x",https://doi.org/10.1186/s12889-022-13185-x
998,III,CLINTON PATROBA,Journal,COVID-19 in India: Who are we leaving behind?,"Raju, Emmanuel",Slums,2021,Asian,Asian,Abstract,"·       The COVID-19 pandemic has exacerbated existing societal inequalities, particularly affecting vulnerable groups such as migrants and residents of urban slums and informal settlements in the Global South. The challenging living conditions in these areas make it difficult to adhere to WHO guidelines for preventing COVID-19. Using India as a case study, the paper highlights the specific challenges faced by migrants and slum dwellers during the pandemic, emphasizing the need for immediate human rights-based interventions to protect these vulnerable populations.",Societal inequalities,Negative,Yes,,No,Diagnostic,,,Inequalities in slums,,"Raju, E., Dutta, A., & Ayeb-Karlsson, S. (2021). COVID-19 in India: Who are we leaving behind? https://doi.org/10.1016/j.pdisas.2021.100163",https://doi.org/10.1016/j.pdisas.2021.100163
999,III,CLINTON PATROBA,Report,Freetown ; Options for Growth and Resilience,"Group, World Bank",Slums,2018,African,African,Abstract,"The study focuses on Freetown, the capital of Sierra Leone, where urbanization is occurring at a much lower level than other Sub-Saharan African countries. Despite being the dominant urban center, Freetown faces challenges such as a tenfold population increase in the last 50 years, dilapidated infrastructure, and inadequate service delivery. The city is susceptible to disasters due to its coastal location. Investments in Freetown are currently insufficient for necessary infrastructure development, and the city has not effectively served as an engine for either service delivery or economic growth. The paper emphasizes the need for purposeful and bold policies to transform Freetown into an engine for economic development, requiring symbolic investments and supporting narratives to change current attitudes and build a credible vision for the city and the country","Dilapidated infrastructure, inadequate service delivery",Negative,Yes,,No,Diagnostic,Nature of slums,,,,"Group, W. B. (2018). Freetown?; Options for Growth and Resilience. World Bank, Washington, DC. http://hdl.handle.net/10986/31286",http://hdl.handle.net/10986/31286
1000,III,CLINTON PATROBA,Report,"Land titling and local economic development: the missing link? : evidence from two squatter settlements in Lima, Peru","Wilkinson, E (Emily)",Squatter Settlements,2004,South American,South American,Abstract,,,Negative,Yes,,No,Diagnostic,,,,,"Wilkinson, E. (Emily). (2004). Land titling and local economic development: the missing link??: evidence from two squatter settlements in Lima, Peru. http://repub.eur.nl/pub/19149",http://repub.eur.nl/pub/19149
1001,III,CLINTON PATROBA,Journal,Potential of Land Readjustment Application for Urban Renewal in Kampung Braga of Bandung City,"Wihadanto, Ake",Slums,2017,Asian,Asian,Abstract,"This study addresses the challenges arising from the rapid growth of large cities, leading to issues of high population growth and limited available land for settlements. The focus is on the slum settlement area of Kampung Braga in Bandung city, where land readjustment is proposed as a participatory intervention for urban renewal. The research covers five stages, including land value analysis, redesign of the area, assessment of land value increase, preparation of land use balance after re-plotting, and determining land contribution. Data collection involved primary and secondary sources from January to October 2016, with questionnaires surveying residents and parcel owners. The formulated land re-adjustment plan for Kampung Braga resulted in Positive changes, including increased land value, improved area quality, and enhanced land use balance. These findings suggest that land re-adjustment is a viable approach for transforming Kampung Braga into a habitable residential area",Limited land,Negative,Yes,,No,Diagnostic,Nature of slums,,,,"Wihadanto, A., Barus, B., Achsani, N. A., & S. Bratakusumah, D. (2017). Potential of Land Readjustment Application for Urban Renewal in Kampung Braga of Bandung City. https://www.gssrr.org/index.php/JournalOfBasicAndApplied/article/view/7268",https://www.gssrr.org/index.php/JournalOfBasicAndApplied/article/view/7268
1002,III,CLINTON PATROBA,Report,"CDBG and UDAG displacement [microform] : hearing before the Subcommittee on Housing and Community Development of the Committee on Banking, Finance, and Urban Affairs, House of Representatives, One-hundredth Congress, second session, September 29, 1988.","United States. Congress. House. Committee on Banking and Urban Affairs. Subcommittee on Housing and Community Development., Finance",Informal Settlements,1988,North American,North American,Abstract,"""Serial no. 100-94."" ; CIS Microfiche Accession Numbers: CIS 89 H241-17 ; Includes bibliographical references. ; Microfiche. ; Mode of access: Internet.",,Negative,Yes,,No,Diagnostic,Economy of slums,,,,"United States. Congress. House. Committee on Banking and Urban Affairs. Subcommittee on Housing and Community Development., F. (1988). CDBG and UDAG displacement [microform]?: hearing before the Subcommittee on Housing and Community Development of the Committee on Banking, Finance, and Urban Affairs, House of Representatives, One-hundredth Congress, second session, September 29, 1988. Washington?: U.S. G.P.O. http://hdl.handle.net/2027/mdp.39015014594249",http://hdl.handle.net/2027/mdp.39015014594249
1003,III,CLINTON PATROBA,Journal,"""The Implementation of Land Consolidation Concept in Slum Settlements in the Semanggi Area of Surakarta City Based on the Head of the National Land Agency Regulation Number 12 of 2019.","Hilda Natasya, Yunitya",Slums,2023,Asian,Asian,Abstract,"·       The research on land consolidation arrangements for slum settlements in Semanggi, Surakarta City, reveals implementation challenges, including non-compliance with laws and regulations, inadequate fulfillment of public service units, and obstacles in both implementation and regulations.",inadequate fulfillment of public service units,Negative,Yes,,No,Diagnostic,Nature of slums,,,,"Hilda Natasya, Y., Subekti, R., & Sungkowo Raharjo, P. (2023). Penerapan Konsep Konsolidasi Tanah pada Permukiman Kumuh Kawasan Semanggi Kota Surakarta Berdasarkan Peraturan Kepala Badan Pertanahan Nasional Nomor 12 Tahun 2019. https://jurnal.amalinsani.org/index.php/pledoi/article/view/240",https://jurnal.amalinsani.org/index.php/pledoi/article/view/240
1004,III,CLINTON PATROBA,Journal,Land Consolidation in the Riverside Slum Settlement Area in Badur Bawah,"Farahdina, Destia",Slums,2022,Asian,Asian,Abstract,"·       The study on the Riverside settlement in Lower Badur Bawah, Medan, emphasizes the need for land consolidation to revitalize the area, addressing issues such as lack of sewerage and public space. The proposed solution involves providing decent housing and utilizing the river border for communal activities.",Lack of sewerage and public space,Negative,Yes,,No,Diagnostic,Nature of slums,,,,"Farahdina, D., & Purnama, D. (2022). Konsolidasi Tanah Kawasan Permukiman Kumuh Tepi Sungai Di Badur Bawah. https://ojs.uma.ac.id/index.php/jaur/article/view/8189",https://ojs.uma.ac.id/index.php/jaur/article/view/8189
1005,III,CLINTON PATROBA,Thesis,Access to safe and sustainable domestic water And sanitation services in emerging slums in Kenya;,"Anugumi, Jennifer muyoma",Slums,2007,Asian,Asian,Abstract,"·       The significance of water and sanitation for human development is stressed in the context of poor communities. Access to clean water and sanitation is crucial for health, productivity, and poverty reduction. The study advocates for improved water and sanitation services to empower communities, especially women.","Poor communities, poverty",Negative,Yes,,No,Diagnostic,sanitation concerns,,,,"Anugumi, J. muyoma. (2007). Access to safe and sustainable domestic water And sanitation services in emerging slums in Kenya; http://hdl.handle.net/11295/18855",http://hdl.handle.net/11295/18855
1006,III,CLINTON PATROBA,Book,Improving Informal Areas in Greater Cairo ; The cases of Ezzbet Al Nasr & Dayer El Nahia,,Informal Settlements,2011,African,African,Abstract,"·       The Greater Cairo Metropolitan Region faces extensive informal growth, making up almost half of the built-up area. While informal areas pose challenges like loss of agricultural land and lack of infrastructure, they also provide valuable livelihoods. The Participatory Development Programme in Urban Areas aims to address these complexities, strengthening capacities and intervening in informal areas through policy reform and implementation support.","Informal growth, Lack of infrastructure",Negative,Yes,,No,Diagnostic,Nature of slums,,,,"Improving Informal Areas in Greater Cairo?; The cases of Ezzbet Al Nasr & Dayer El Nahia. (2011). Technische Universität Berlin, Urban Management Program?; Berlin. https://depositonce.tu-berlin.de/handle/11303/3127",https://depositonce.tu-berlin.de/handle/11303/3127
1007,III,CLINTON PATROBA,Report,"Evolution and Management of Illegal Settlements in Mid-Sized Towns. The Case of Sierra de Santa Bárbara (Plasencia, Spain)","Barrado, Víctor Jiménez",Informal Settlements,2020,South American,South American,Abstract,"·       The illegal urbanization of rural areas near cities, such as the Sierra de Santa Bárbara in Plasencia, Spain, reflects failures in urban management. Ignoring illegal development exacerbates public-private conflicts, forcing administrations to consider legalization as a solution. The study emphasizes the need for socially sustainable policies and learning from consequences to achieve legality and sustainability.","Illegal development, public private conflicts",Negative,Yes,,No,Diagnostic,Nature of slums,,,Legality and sustainability,"Barrado, V. J. (2020). Evolution and Management of Illegal Settlements in Mid-Sized Towns. The Case of Sierra de Santa Bárbara (Plasencia, Spain). Multidisciplinary Digital Publishing Institute. https://doi.org/10.3390/su12083438",https://doi.org/10.3390/su12083438
1008,III,CLINTON PATROBA,Book,Informal Cape Verdean settlement in Lisbon: Bairro 6 de Maio and the challenge for urban planning,"Tarsi, Elena",Informal Settlements,2017,African,African,Abstract,"·       Bairro 6 de Maio, an informal settlement built by Cape Verdean immigrants in Lisbon, Portugal, faces threats of demolition under the PER Program. The paper advocates for socially sustainable policies and a multicultural vision of cities, highlighting the need to defend people's fundamental right to housing and challenging existing legal rhetoric in urban planning.",Demolition,Negative,Yes,,No,Diagnostic,Nature of slums,,,,"Tarsi, E. (2017). Informal Cape Verdean settlement in Lisbon: Bairro 6 de Maio and the challenge for urban planning. DIDAPress. http://hdl.handle.net/10316/87547",http://hdl.handle.net/10316/87547
1009,III,CLINTON PATROBA,Journal,Disaster risk reduction through school learners awareness and preparedness,"Rambau, Takalani S",Slums,2012,African,African,Abstract,"·       A study in South Africa assesses the contribution of education, curriculum development, and teaching to learners' hazard awareness and disaster preparedness. The findings identify prevalent disasters, emphasize the vulnerability of communities in informal settlements, and underscore the importance of expanding education on hazards and disasters for learners.","Hazard awareness, disasters",Negative,Yes,,No,Diagnostic,Nature of slums,,,,"Rambau, T. S., Beukes, L. D., & Fraser, W. (2012). Disaster risk reduction through school learners awareness and preparedness. http://hdl.handle.net/10394/8907",http://hdl.handle.net/10394/8907
1010,III,CLINTON PATROBA,Report,"Characterizing Informal Settlement Dynamics Using Google Earth Engine and Intensity Analysis in Durban Metropolitan Area, South Africa: Linking Pattern to Process","Matarira, Dadirai",Informal Settlements,2023,African,African,Abstract,"·       The study in Durban Metropolitan area explores patterns and processes of informal settlement growth from 2015 to 2021, utilizing object-based image classification and intensity analysis. The results indicate spatial growth with a net gain of 3%, revealing active land transitions within informal settlements and transitions between informal settlements and other urban land, influenced by government policies on housing.","·       Informal, government",Negative,Yes,,No,Diagnostic,slum upgrading,,,,"Matarira, D., Mutanga, O., Naidu, M., Mushore, T. D., & Vizzari, M. (2023). Characterizing Informal Settlement Dynamics Using Google Earth Engine and Intensity Analysis in Durban Metropolitan Area, South Africa: Linking Pattern to Process. Multidisciplinary Digital Publishing Institute. https://doi.org/10.3390/su15032724",https://doi.org/10.3390/su15032724
1011,III,CLINTON PATROBA,Journal,Perceptions of gender-based violence around public toilets in Mumbai slums,"Belur, J",Slums,2016,Asian,Asian,Abstract,"·       Addressing the lack of adequate public toilets and gender-based violence in India, the research in Mumbai assesses women's perceptions and experiences of crime around different types of public toilets in slum areas. Findings highlight varying levels of fear and insecurity, emphasizing the need for improved lighting, police patrols, and community-police interactions.","·       Inadequate, public, gender-based",Negative,Yes,,No,Diagnostic,sanitation concerns,,,,"Belur, J., Parikh, P., Daruwalla, N., Joshi, R., & Fernandes, R. (2016). Perceptions of gender-based violence around public toilets in Mumbai slums. http://discovery.ucl.ac.uk/1516096/",http://discovery.ucl.ac.uk/1516096/
1012,III,CLINTON PATROBA,Report,Attitude study among Negro and White residents in the Milwaukee Nnegro residential areas,"Research, Bisbing Business",Slums,1965,North American,North American,Abstract,"·       The historical study from 1965 Milwaukee Journal explores residents' attitudes in African American neighborhoods, providing insights into daily life and opinions on education, police, housing segregation, job opportunities, and treatment by white residents. The study, conducted with community leaders' involvement, offers a valuable perspective on racial dynamics in Milwaukee during that time.","·       Racial, housing, job",Negative,Yes,,No,Diagnostic,Education in slums,,,,"Research, B. B. (1965). Attitude study among Negro and White residents in the Milwaukee Nnegro residential areas. Bisbing Business Research. http://cdm15932.contentdm.oclc.org/u?/tp,71535","http://cdm15932.contentdm.oclc.org/u?/tp,71535"
1013,III,CLINTON PATROBA,Journal,Assessment of the Ecological Condition of Informal Settlements Using the Settlement Surface Ecological Index,"Mudau, Naledzani",Informal Settlements,2023,African,African,Abstract,"·       The research develops a settlement surface ecological index (SSEI) using satellite imagery to assess the biophysical characteristics of urban areas. The SSEI considers tree, soil, impervious surface, and grass covers, providing insights into settlement surface conditions. The study suggests that understanding such indices can aid in developing urban greening strategies.","·       Urban, settlement, biophysical",Negative,Yes,,No,Diagnostic,Environmental concerns,,,,"Mudau, N., & Mhangara, P. (2023). Assessment of the Ecological Condition of Informal Settlements Using the Settlement Surface Ecological Index. https://doi.org/10.3390/land12081622",https://doi.org/10.3390/land12081622
1014,III,CLINTON PATROBA,Journal,"Citizen Participation in Informal Settlements; Potentials & Obstacles - The Case of Iran, Shiraz, Saadi Community","Makerani, Hamid Mohammadi",Informal Settlements,2007,Asian,Asian,Abstract,"·       Focusing on citizen participation in informal settlement planning in Iran, the paper discusses the shift to a ""Bottom-up Planning Approach."" It explores the conditions, limits, and potentials of citizen involvement, revealing that nearly 80% of responders in a case study community are willing to participate in regularizing their neighborhoods under specific pre-conditions.","·       Informal, citizen, bottom-up",Negative,Yes,,Yes,Diagnostic,,,,Bottom-up planning approach,"Makerani, H. M. (2007). Citizen Participation in Informal Settlements; Potentials & Obstacles - The Case of Iran, Shiraz, Saadi Community. https://zenodo.org/record/1078963",https://zenodo.org/record/1078963
1015,III,CLINTON PATROBA,Thesis,The Unseen: Withdrawal and the social order of violence in Guatemala City,"Peeters, T D (Timo)",Slums,2021,North American,North American,Abstract,"·       Guatemala Violence and Urban Life: In Guatemala, the transition from civil war to democracy has shifted violence from state-sponsored to a more diffuse, criminal, and urban nature. Poverty, inequality, and exclusion contribute to the roots of violence. Ethnographic research in Guatemala City explores how people navigate their lives amidst high levels of violence and structural violence.","·       Diffuse, criminal, urban, poverty, structural",Negative,Yes,,No,Diagnostic,Nature of slums,,,,"Peeters, T. D. (Timo). (2021). The Unseen: Withdrawal and the social order of violence in Guatemala City. http://repub.eur.nl/pub/136994",http://repub.eur.nl/pub/136994
1016,III,CLINTON PATROBA,Journal,"Criminals, Prostitutes, Vagrants and Drunkards: 1920s Carlton","Stagnitti, Jessica",Slums,2006,North American,North American,Abstract,"·       Melbourne's Carlton Slum in the 1920s: The essay delves into Melbourne's Carlton suburb in the 1920s, once a squalid slum inhabited by diverse individuals, including criminals and prostitutes. The narrative unfolds a mystery involving a murder, shedding light on the lives trapped within the slum's depressing conditions, using original records creatively.","squalid, depressing",Negative,Yes,,No,Diagnostic,Insecurity concerns,,,,"Stagnitti, J. (2006). Criminals, Prostitutes, Vagrants and Drunkards: 1920s Carlton. https://doaj.org/article/ffa4ab443a5a4c458d927ee5b5e9e41a",https://doaj.org/article/ffa4ab443a5a4c458d927ee5b5e9e41a
1017,III,CLINTON PATROBA,Journal,"Weathering the Storm: Community Socio-Economic and Physical Vulnerability Assessment of Informal Settlements to Disasters in Arusha City, Tanzania","Hambati, Herbert",Slums,2022,African,African,Abstract,"·       Urban Vulnerability in Arusha, Tanzania: The study in Arusha City, Tanzania, employs Community Participatory Vulnerability Assessment (CPVA) to analyze vulnerability in informal settlements. Factors such as socio-economic conditions interact to shape vulnerability, revealing the need for holistic approaches addressing poverty and exposure disparities for effective disaster risk reduction.","·       Urban Vulnerability in Arusha, Tanzania: informal Settlements",Negative,Yes,,No,Diagnostic,Disaster management in slums,,,,"Hambati, H. (2022). Weathering the Storm: Community Socio-Economic and Physical Vulnerability Assessment of Informal Settlements to Disasters in Arusha City, Tanzania. https://www.ajol.info/index.php/tjs/article/view/226250",https://www.ajol.info/index.php/tjs/article/view/226250
1018,III,CLINTON PATROBA,Report,"Awareness Level of Spatial Planning Tools for Disaster Risk Reduction in Informal Settlements in Mopani District, South Africa","Akola, Juliet",Informal Settlements,2023,African,African,Abstract,"·       Spatial Planning Tools in Mopani District, South Africa: The study assesses the awareness of spatial planning tools for disaster risk reduction in informal settlements in Mopani District, South Africa. Findings indicate a moderate to low level of awareness, with significant differences based on gender, education, and income levels. Recommendations include raising awareness among vulnerable groups.",South Africa informal settlements,Negative,Yes,,Yes,Diagnostic,,,Disaster management,,"Akola, J., Chakwizira, J., Ingwani, E., & Bikam, P. (2023). Awareness Level of Spatial Planning Tools for Disaster Risk Reduction in Informal Settlements in Mopani District, South Africa. Multidisciplinary Digital Publishing Institute. https://doi.org/10.3390/su15065380",https://doi.org/10.3390/su15065380
1019,III,CLINTON PATROBA,Journal,A hierarchical approach for fine-grained urban villages recognition fusing remote and social sensing data,"Chen, Dongsheng",Informal Settlements,2022,Asian,Asian,Abstract,"·       Fine-Grained Urban Village Recognition in Shenzhen, China: The study proposes a hierarchical recognition framework integrating remote and social sensing data for fine-grained urban village recognition in Shenzhen, China. The approach achieved impressive performance, emphasizing the importance of integrating diverse data sources for accurate urban mapping.","·       fine-grained urban village, diverse",Negative,Yes,,No,Diagnostic,,,,Hierarchical recognition framework,"Chen, D., Tu, W., Cao, R., Zhang, Y., He, B., Wang, C., Shi, T., & Li, Q. (2022). A hierarchical approach for fine-grained urban villages recognition fusing remote and social sensing data. https://hdl.handle.net/20.500.11850/523752",https://hdl.handle.net/20.500.11850/523752
